name,index,weights_shape,weights_dtype,padding,stride_h,stride_w,kernel_h,kernel_w,shape,input_tensor_name,weight_tensor_name,bias_tensor_name,output_tensor_name
CONV_2D_87,87,[32  3  3 32],0,0,1,1,,,,464_te_transform,fuse_attr_111,fuse_attr_89,fuse_transform_31
CONCAT_88,88,,,,,,,,,"['fuse_transform_34', 'fuse_transform_35', 'fuse_transform_31']",,,input0.15_te_transform
CONV_2D_89,89,[64  1  1 96],0,1,1,1,,,,input0.15_te_transform,fuse_attr_112,476_te_transform_1_te_transform_2,input0.15_te_transform_1
PAD_90,90,,,,,,,,,"['input0.15_te_transform_1', '476_te_transform_1_te_attr_2']",,,476_te_transform_1_te_transform_2
CONV_2D_91,91,[64  3  3 64],0,1,2,2,,,,476_te_transform_1_te_transform_2,fuse_attr_113,208_te_attr,fuse_transform_53
CONCAT_92,92,,,,,,,,,"['fuse_transform_53', 'input0.9_te_transform_1']",,,489_te_transform
CONV_2D_93,93,[128   1   1 192],0,1,1,1,,,,489_te_transform,fuse_attr_114,634_attr_1,fuse_transform_50
SPLIT_94,94,,,,,,,,,fuse_attr_55,,,"['fuse_transform_51', 'fuse_transform_52']"
CONV_2D_95,95,[64  3  3 64],0,0,1,1,,,,fuse_transform_52,fuse_attr_115,fuse_attr_78,504_te_transform
CONV_2D_96,96,[64  3  3 64],0,0,1,1,,,,504_te_transform,fuse_attr_116,fuse_transform_33,fuse_transform_58
CONCAT_97,97,,,,,,,,,"['fuse_transform_51', 'fuse_transform_52', 'fuse_transform_58']",,,input0.21_te_transform
CONV_2D_98,98,[128   1   1 192],0,1,1,1,,,,input0.21_te_transform,fuse_attr_117,617_attr_1,input0.21_te_transform_1
PAD_99,99,,,,,,,,,"['input0.21_te_transform_1', '516_te_transform_1_te_attr_2']",,,516_te_transform_1_te_transform_2
CONV_2D_100,100,[128   3   3 128],0,1,2,2,,,,516_te_transform_1_te_transform_2,fuse_attr_118,input0.30_te_attr_1,fuse_transform_63
CONCAT_101,101,,,,,,,,,"['fuse_transform_63', 'input0.32_te_transform_1']",,,529_te_transform
CONV_2D_102,102,[256   1   1 384],0,1,1,1,,,,529_te_transform,fuse_attr_119,input0.14_te_attr_1,fuse_transform_60
SPLIT_103,103,,,,,,,,,fuse_attr_66,,,"['fuse_transform_61', 'fuse_transform_62']"
CONV_2D_104,104,[128   3   3 128],0,0,1,1,,,,fuse_transform_62,fuse_attr_120,fuse_transform_42,544_te_transform
CONV_2D_105,105,[128   3   3 128],0,0,1,1,,,,544_te_transform,fuse_attr_121,input.10_attr_1,fuse_transform_68
CONCAT_106,106,,,,,,,,,"['fuse_transform_61', 'fuse_transform_62', 'fuse_transform_68']",,,input0.1_te_transform
CONV_2D_107,107,[256   1   1 384],0,1,1,1,,,,input0.1_te_transform,fuse_attr_122,input.24_te_transform_1_te_transform_2,input0.1_te_transform_1
CONV_2D_108,108,[ 64   3   3 256],0,0,1,1,,,,input0.1_te_transform_1,fuse_attr_135,fuse_attr_80,input.21_te_transform
CONV_2D_109,109,[64  3  3 64],0,0,1,1,,,,input.21_te_transform,fuse_attr_136,input0.13_attr_1,666_te_transform
CONV_2D_110,110,[ 4  1  1 64],0,1,1,1,,,,666_te_transform,fuse_attr_137,input0.8_te_attr_1,fuse_transform_36
CONV_2D_111,111,[ 80   3   3 256],0,0,1,1,,,,input0.1_te_transform_1,fuse_attr_138,710_attr,input.1_te_transform
CONV_2D_112,112,[80  3  3 80],0,0,1,1,,,,input.1_te_transform,fuse_attr_139,345,681_te_transform
CONV_2D_113,113,[ 1  1  1 80],0,1,1,1,,,,681_te_transform,fuse_attr_140,input0.6_te_attr_1,fuse_transform_37
CONCAT_114,114,,,,,,,,,"['fuse_transform_36', 'fuse_transform_37']",,,fuse_transform_3
DEQUANTIZE_115,115,,,,,,,,,fuse_transform_3,,,691
CONV_2D_116,116,[ 64   3   3 128],0,0,1,1,,,,input0.21_te_transform_1,fuse_attr_129,input0.23_te_attr_1,input.13_te_transform
CONV_2D_117,117,[64  3  3 64],0,0,1,1,,,,input.13_te_transform,fuse_attr_130,180_te_transform,634_te_transform
CONV_2D_118,118,[ 4  1  1 64],0,1,1,1,,,,634_te_transform,fuse_attr_131,476_te_transform_1_te_attr_2,fuse_transform_47
CONV_2D_119,119,[ 80   3   3 128],0,0,1,1,,,,input0.21_te_transform_1,fuse_attr_132,input0.10_te_transform,input.17_te_transform
CONV_2D_120,120,[80  3  3 80],0,0,1,1,,,,input.17_te_transform,fuse_attr_133,666_te_transform,649_te_transform
CONV_2D_121,121,[ 1  1  1 80],0,1,1,1,,,,649_te_transform,fuse_attr_134,fuse_attr_83,fuse_transform_48
CONCAT_122,122,,,,,,,,,"['fuse_transform_47', 'fuse_transform_48']",,,fuse_transform_2
DEQUANTIZE_123,123,,,,,,,,,fuse_transform_2,,,690
CONV_2D_124,124,[64  3  3 64],0,0,1,1,,,,input0.15_te_transform_1,fuse_attr_123,240_te_transform,input.5_te_transform
CONV_2D_125,125,[64  3  3 64],0,0,1,1,,,,input.5_te_transform,fuse_attr_124,300_te_transform_1,602_te_transform
CONV_2D_126,126,[ 4  1  1 64],0,1,1,1,,,,602_te_transform,fuse_attr_125,163_attr_1,fuse_transform_44
CONV_2D_127,127,[80  3  3 64],0,0,1,1,,,,input0.15_te_transform_1,fuse_attr_126,504_attr_1,input.9_te_transform
CONV_2D_128,128,[80  3  3 80],0,0,1,1,,,,input.9_te_transform,fuse_attr_127,fuse_transform_16,617_te_transform
CONV_2D_129,129,[ 1  1  1 80],0,1,1,1,,,,617_te_transform,fuse_attr_128,input0.20_attr_1,fuse_transform_45
CONCAT_130,130,,,,,,,,,"['fuse_transform_44', 'fuse_transform_45']",,,fuse_transform_1
DEQUANTIZE_131,131,,,,,,,,,fuse_transform_1,,,689
